Contract #,Business Size,Schedule,Site,Begin Date,End Date,SIN,Vendor Name,Labor Category,education Level,Minimum Years Experience,Current Year Labor Price,Next Year Labor Price,Second Year Labor Price
GS-35F-499AA,small business,IT Schedule 70,Both,10/15/19,10/14/24,132 51,"cFocus Software, Inc.",Help Desk Specialist IV,Bachelors,5,74.23,74.23,74.23
GS-00F-0068M,small business,Consolidated,Both,5/16/02,5/15/22,"541-4A,541-4D","Quality Support, Inc.",Project Manager II,Bachelors,5,74.27,76.2,78.18
47QRAA19D00C7,small business,Consolidated,Both,9/10/19,9/9/24,"871 1-6, 874 1,6,7,501 & 507, 899 1 & 7, C132 51","Kenific Group Inc., The (DBA KGI)",Document Specialist,Bachelors,6,74.27,75.75,77.27
GS-10F-0401X,other than small business,Environmental,Contractor,7/22/11,7/21/21,"871-7, 899-1, 899-7","Otak, Inc.",GIS Specialist - Planner,Bachelors,7,74.28,74.28,74.28
GS-35F-506BA,small business,IT Schedule 70,Customer,9/19/19,9/8/24,132-51,Scientific Systems and Software International Corp,Tecommunications Technician,Bachelors,5,74.28,74.28,74.28
GS-35F-506BA,small business,IT Schedule 70,Customer,9/19/19,9/8/24,132-51,Scientific Systems and Software International Corp,PC/LAN Mgmt Analyst - Senior,Bachelors,6,74.28,74.28,74.28
GS-35F-506BA,small business,IT Schedule 70,Customer,9/19/19,9/8/24,132-51,Scientific Systems and Software International Corp,Technical Editor,Bachelors,5,74.28,74.28,74.28
GS-35F-506BA,small business,IT Schedule 70,Customer,9/19/19,9/8/24,132-51,Scientific Systems and Software International Corp,Help Desk Specialist,Bachelors,5,74.28,74.28,74.28
GS-10F-0058P,small business,MOBIS,,11/3/03,11/2/23,874-1/RC,1st Choice Staffing Agency,Business Analyst,Bachelors,5,74.31,74.31,74.31
47QRAA19D0067,small business,Consolidated,Both,3/25/19,3/24/24,541-4D,"GOLDEN WOLF, LLC",Associate Project Director/Sr. Account Manager,Bachelors,7,74.32,,
GS-10F-0135Y,other than small business,Logistics,Both,1/7/12,1/6/22,"874-(501, 503, 504, 505, 507), 871-(1,2,3,4), 100-03","Yang Enterprises, Inc.",Storage Distribution Supervisor II,Bachelors,6,74.32,74.32,74.32
47QSMA20D08PC,small business,71_IIK,Customer,2/13/20,2/12/25,541614CF,Interior Move Consultants Inc.,IT Technician (NY),Bachelors,5,74.36,76.22,78.12
47QRAA20D000T,other than small business,Consolidated,Contractor,10/31/19,10/30/24,"899-1, 899-8","ALPHA FACILITIES SOLUTIONS, LLC",MID-LEVEL SCIENTIST,Bachelors,6,74.38,75.87,77.39
47QRAA19D0069,other than small business,Consolidated,Customer,3/26/19,3/25/24,C132-51,"NTT Data Services Federal Government, LLC",Associate Network Engineer,Bachelors,5,74.4,,
47QRAA19D0069,other than small business,Consolidated,Customer,3/26/19,3/25/24,C132-51,"NTT Data Services Federal Government, LLC",Principal Communication Software Specialist,Bachelors,5,74.4,,
GS-03F-075AA,small business,36_Office_Imaging_Document,BOTH,6/5/18,6/5/23,"51 504, 51 600","Dennis Millican & Associates, Inc.",Consultant 1,Bachelors,5,74.41,,
GS-10F-0285N,small business,MOBIS,Customer,3/11/03,3/10/23,874-1,"Conceptual MindWorks, Inc. (d.b.a.) Sevocity",Scientific Technician III,Bachelors,7,74.42,74.42,
47QTCA19D00K8,small business,IT Schedule 70,Both,8/30/19,8/29/24,132-51,"F2 Systems, LLC",Network Specialist III,Bachelors,6,74.44,76,77.6
GS-10F-0182T,other than small business,MOBIS,Both,3/14/07,3/13/22,"541-1, 541-2, 541-3, 541-4A, 541-4F, 541-5 & 874-4","University Research Co., LLC",Graphic Design Specialist,Bachelors,7,74.48,74.48,74.48
GS-10F-0332P,small business,Environmental,Both,5/18/04,5/17/24,899-1,"Applied Earthworks, Inc.",Supervisor VIII / Field Supervisor IV,Masters,7,74.48,,
GS35F199GA,small business,IT Schedule 70,Customer,1/22/17,1/24/22,132-51,PUMEX Computing LLC,QA/Test Engineer II,Bachelors,5,74.48,74.48,74.48
GS-35F-547JA,small business,IT Schedule 70,Both,7/25/19,7/24/24,132-51,CHIEF TECHNOLOGIES LLC,Network Engineer,Bachelors,7,74.51,76.37,78.28
47QRAA18D00CG,small business,Consolidated,Customer,7/20/18,7/19/23,C132 51,GTANGIBLE,Security Control Assessor Level III,Bachelors,5,74.51,76,77.52
GS-10F-0135Y,other than small business,Logistics,Both,1/7/12,1/6/22,"874-(501, 503, 504, 505, 507), 871-(1,2,3,4), 100-03","Yang Enterprises, Inc.",Project Manager I,Bachelors,6,74.51,74.51,74.51
47QRAA20D001K,small business,Consolidated,Both,11/19/19,11/18/24,"874-1,874-6,874-7,871-6","AVUM, INC.",Logistics Specialist,Bachelors,6,74.51,76.3,78.13
GS-10F-0008V,other than small business,Logistics,Contractor,10/10/08,10/9/23,"874-1, 874-4, 874-6, 874-7, 874-501, 874-504, 874-505, 874-507","Engineering Solutions & Products, Inc.","Maint/Opr Tng Instructor, Journeyman",Bachelors,5,74.53,76.02,77.54
GS-10F-0008V,other than small business,Logistics,Contractor,10/10/08,10/9/23,"874-1, 874-4, 874-6, 874-7, 871-1, 871-2, 871-3, 871-4, 871-5, 871-6,  874-501, 874-504, 874-505, 874-507","Engineering Solutions & Products, Inc.","Management Analyst, Journeyman",Bachelors,5,74.53,76.02,77.54
47QTCA20D0016,other than small business,IT Schedule 70,Both,10/21/19,10/20/24,132-51,Solutions Through Innovative Technologies Inc,Communications Analyst - Senior,Bachelors,7,74.54,74.54,74.54
47QRAA18D0099,small business,MAS Consolidated,Both,5/10/18,5/9/23,"541211, 541219, 541611",INTERNATIONAL BUSINESS SALES & SERVICES CORPORATION,Budget Analyst II,Bachelors,5,74.54,76.33,
47QRAA19D009N,other than small business,Consolidated,Both,6/27/19,6/26/24,132-51,"Universal Technical Resources Services, Inc. (d.b.a.) Utrs","Administrative Assistant, Senior",Bachelors,5,74.56,76.05,77.57
47QTCA19D00DW,small business,IT Schedule 70,Contractor,6/18/19,6/18/24,132-51,"SEMPER VALENS SOLUTIONS, INC.",Systems Analyst III,Bachelors,7,74.57,76.11,77.69
47QRAA18D009U,small business,Consolidated,Both,5/24/18,5/23/23,899-1 & 899-1RC,ALTA ARCHAEOLOGICAL CONSULTING LLC ,Archaeologist B,Bachelors,5,74.59,76.08,77.6
GS-00F-0082M,small business,Consolidated,,7/29/02,7/28/22,"541-1, 541-2, 541-3, 541-4A, 541-4C, 541-4D, 541-5",Nova Research Company,Market Research Analyst II,Bachelors,5,74.6,76.09,77.61
GS-00F-0082M,small business,Consolidated,,7/29/02,7/28/22,C132-51,Nova Research Company,Meeting Support Technician III,Bachelors,5,74.6,76.09,77.61
GS-00F-0082M,small business,Consolidated,,7/29/02,7/28/22,"541-1, 541-2, 541-3, 541-4A, 541-4C, 541-4D, 541-5",Nova Research Company,Market Research II,Bachelors,5,74.6,76.09,77.61
47QRAA19D007X,small business,Consolidated,Customer,5/9/19,5/8/24,874-1,"WASHINGTON BUSINESS DYNAMICS, LLC",Business Analyst 4,Bachelors,5,74.6,76.09,77.61
GS-10F-060AA,small business,PES,Contractor,12/13/12,12/12/22,871 2;871-3; 871-4; 871 5; 871 6,Aaski Technology Inc,"Configuration Management Specialist,Journeyman",Bachelors,5,74.62,74.62,74.62
47QRAA19D00BB,small business,Consolidated,Both,8/12/19,8/11/24,520-21,SMART1 MANAGEMENT SOLUTIONS LLC,Program Analyst I,Bachelors,5,74.63,76.12,77.65
GS35F0318Y,small business,IT Schedule 70,Both,4/4/17,4/3/22,132-51,Wakelight Technologies Inc,Applications Engineer,Bachelors,5,74.66,74.66,74.66
GS-10F-0174V,small business,Logistics,Contractor,5/8/09,5/7/24,874-501 and 874-507,"Carl Amber Brian Isaiah And Associates Company, Inc. (d.b.a.) Cbai & Associates",System Engineer,Bachelors,5,74.66,74.66,74.66
47QRAA18D000K,other than small business,Consolidated,Customer,10/18/17,10/17/22,874-1 & 874-7,"Information International Associates, Inc.",Project Manager/Team Leader,Bachelors,6,74.67,76.46,78.3
GS-00F-0001R,small business,Consolidated,Both,10/1/04,3/31/23,871 1,"Gem Technology International, Corporation",Budget Analyst II,Bachelors,5,74.68,74.68,74.68
GS-10F-0253N,small business,Logistics,Contractor,2/18/03,2/17/23,"874-501, 874-503, 874-504, 874-505, 874-507","Ltm, Inc.",IT Specialist 2,Bachelors,6,74.69,76.19,77.71
GS-00F-194GA,small business,Consolidated,,5/24/17,5/23/22,"871-3, 871-4, 871-5, 871-6, 874 501, C132-51","Bonham Technologies, Inc.",Programmer III,Bachelors,6,74.7,76.2,77.72
GS-10F-002CA,small business,MOBIS,Customer,10/7/14,10/6/24,874-1/RC; 874-6/RC; 874-7/RC,"Nve, Inc.",Program Specialist I,Bachelors,5,74.7,76.19,77.72
47QRAA19D002H,small business,MAS Consolidated,Both,12/20/18,12/19/23,54151S,JCS SOLUTIONS LLC,PSS Functional Analyst,Bachelors,5,74.71,76.05,77.42
GS-00F-255GA,small business,Consolidated,Both,7/7/17,7/6/22,541 5,"Marketing Doctor, Inc.",Photo Editing,Bachelors,5,74.72,76.21,77.74
47QTCA17D0008,other than small business,IT Schedule 70,Both,10/5/17,10/4/22,132-51,"PSI International, Inc.",Senior Training Specialist,Bachelors,7,74.73,74.73,74.73
47QRAA18D00CG,small business,Consolidated,Customer,7/20/18,7/19/23,C132 51,GTANGIBLE,Information Assurance Manager (IAM) II,Bachelors,5,74.79,76.29,77.81
GS-29F-0015W,small business,71_IIK,Customer,3/12/20,3/11/25,541614CF and 541614OR,"Alex-Alternate Experts, LLC",Project Manager (VA),Bachelors,7,74.79,74.79,74.79
GS00F0003X,other than small business,MAS Consolidated,Both,10/20/20,10/19/25,"541611, 541211",PREMIER MANAGEMENT CORPORATION,Junior Financial Specialist,Bachelors,6,74.8,76.15,77.52
47QTCA20D003G,small business,IT Schedule 70,Customer,12/23/19,12/22/24,132-51,Enterprise Solutions,Network Engineer III,Bachelors,5,74.81,74.81,74.81
47QRAA19D003W,small business,Consolidated,Both,2/1/19,1/31/24,541 4A,"FOCI, LLC",Data Manager,Bachelors,5,74.81,74.81,74.81
47QTCA18D002Q,small business,IT Schedule 70,Both,11/24/17,11/23/22,132-51,Pa Na Solutions Inc,Telecommunications Spec 3,Bachelors,6,74.84,74.84,74.84
47QRAA18D009P,other than small business,Consolidated,Both,5/18/18,5/17/23,"871.1 , 871.2, 871.3, 871.4, 871.5, 871.6","SGT, LLC.",Stress Analysis Engineer,Bachelors,5,74.94,76.44,77.97
GS-10F-0314M,other than small business,Environmental,Both,6/1/02,5/31/22,899-8,Janus Global Operations LLC,IT/Data Specialist,Bachelors,5,74.94,76.21,77.51
47QRAA18D00EG,other than small business,Consolidated,Customer,8/16/18,8/15/23,"874-1
874-7",DEPENDABLE GLOBAL SOLUTIONS INC.,Program Representative I,Bachelors,5,74.94,76.06,77.2
47QRAA18D003R,small business,Consolidated,Both,1/26/18,1/25/23,874 6,SESOM CONSULTANTS LLC,Sr Contracts Consultant,Bachelors,6,74.95,74.95,74.95
47QRAA18D006F,small business,Consolidated,,3/20/18,3/19/23,"874-1, 874-4, 874-6, 874-7, 871-1, 871-2, 871-3, 871-4, 871-5, 871-6, C132-51","Oasis Systems, LLC",Subject Matter Expert I,Bachelors,5,74.95,76.68,78.44
47QRAA18D000K,other than small business,Consolidated,Customer,10/18/17,10/17/22,C132-51,"Information International Associates, Inc.",Communications Specialist,Bachelors,6,74.96,76.76,78.6
47QRAA18D000K,other than small business,Consolidated,Customer,10/18/17,10/17/22,C132-51,"Information International Associates, Inc.",Database Management Specialist,Bachelors,6,74.96,76.76,78.6
47QRAA18D000K,other than small business,Consolidated,Customer,10/18/17,10/17/22,C132-51,"Information International Associates, Inc.",Program Applications Specialist,Bachelors,6,74.96,76.76,78.6
47QRAA18D009P,other than small business,Consolidated,Both,5/18/18,5/17/23,"871.1 , 871.2, 871.3, 871.4, 871.5, 871.6","SGT, LLC.","Packaging Engineer, Senior",Bachelors,7,74.97,76.47,78
47QRAA18D009X,other than small business,Consolidated,Both,5/29/18,5/28/23,"874-1, 874-4, 899-1",THRIVAL SCHOOL LLC,Social Media/Graphic Designer GDIII,Bachelors,5,75,75,75
GS-10F-0288P,small business,Environmental,Both,4/23/04,4/22/24,"899-1/1RC
899-7/7RC
899-8/8RC","Ecosystem Research Group, LLC",Editor,Bachelors,5,75,,
47QRAA19D00A4,small business,Consolidated,Customer,7/12/19,7/11/24,871-2/3/4/5,"Dayton T. Brown, Inc.",Quality Engineer 2,Bachelors,6,75,76.87,78.79
GS10F0101S,small business,MAS Consolidated,Both,1/3/21,1/2/26,"541611, 611430, 611512","AE Strategies, LLC",Communication Specialist,Bachelors,5,75,75,75
GS-29F-0013R,small business,71_IIK,Customer,2/29/20,2/28/25,541614CF,"Carson Design Associates, Inc",Architect (IN),Bachelors,5,75,75,75
47QTCA20D00CM,small business,MAS Consolidated,Both,7/20/20,7/19/25,54151S,Vision IT Consultants,Subject Matter Expert (SYSMAN),Bachelors,5,75.02,76.52,78.05
GS-10F-0019N,small business,MOBIS,,10/3/02,10/2/22,"874-1 874-4, 874-6, 874-7","Amyx, Inc.",Administrative Support V,Bachelors,5,75.03,78.06,78.06
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","ENGINEER, TEST",Bachelors,5,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, BUDGET, LEVEL 3",Masters,6,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, PROGRAM, RESOURCE MANAGEMENT, LEVEL 3",Masters,6,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, COST / PRICE, LEVEL 2",Bachelors,7,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","SCIENTIST, RESEARCH, LEVEL 1",Bachelors,5,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","ENGINEER, QUALITY",Bachelors,5,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","ENGINEER, PROJECT",Bachelors,5,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","ENGINEER, PRODUCTION",Bachelors,5,75.04,76.65,78.3
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","ENGINEER, MANUFACTURING",Bachelors,5,75.04,76.65,78.3
GS-00F-285DA,small business,Consolidated,Both,9/15/16,9/14/21,"871-3, 871-4, 871-5, 871-6","MANAGEMENT SERVICES GROUP, INC",CAD Designer,Bachelors,7,75.05,76.55,
47QRAA20D0012,small business,Consolidated,Both,11/5/19,11/4/24,"541-1, 541-1RC, 
541-4C, 541-4CRC","CHICKASAW MANAGEMENT SERVICES, LLC",Senior Editor,Bachelors,5,75.05,77.3,79.62
47QTCA21D0059,small business,MAS Consolidated,Both,2/12/21,2/11/26,54151S,Waterleaf International LLC,Quality Assurance Specialist II,Bachelors,5,75.06,76.41,77.79
47QRAA19D0053,small business,Consolidated,Both,2/27/19,2/26/24,541-4D,Capital Meeting Planning Inc,Graphics Designer,Bachelors,5,75.07,77.1,79.18
47QRAA19D0053,small business,Consolidated,Both,2/27/19,2/26/24,541-4D,Capital Meeting Planning Inc,Senior Conference/Trade Show Planner,Bachelors,6,75.07,77.1,79.18
47QRAA18D000B,small business,Consolidated,Customer,10/20/17,10/19/22,"874 1, 874 7","OPERATIONAL INTELLIGENCE, LLC",Subject Matter Expert - Level II,Bachelors,5,75.07,76.95,78.87
GS-00F-233DA,other than small business,Consolidated,Both,7/25/16,7/24/21,874-1 & 874-7,"CARTER CONSULTING, INC",Program Analyst II,Bachelors,5,75.08,76.58,
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, PROGRAM, LEVEL 2",Bachelors,6,75.08,76.69,78.34
GS-10F-0598N,small business,Environmental,Both,9/22/03,9/21/23,"899-1, 899-1RC, 899-7, 899-7RC, 899-8, and 899-8RC","Tetrahedron, Inc.",Cost Accountant,Bachelors,5,75.1,75.1,75.1
GS-21F-001BA,other than small business,03FAC,Both,10/1/13,9/30/23,871 211,"EASTERN RESEARCH GROUP, INC.",Tech Writer III,Bachelors,5,75.12,,
GS-10F-0475P,small business,Logistics,Both,8/6/04,8/5/24,"874-501, 874-501RC, 874-503, 874-503RC, 874-504, 874-504RC, 874-507, 874-507RC","Skyhawk Logistics, Inc.",Acquisition Logistics Specialist I,Bachelors,5,75.12,76.55,78
47QRAA18D0085,small business,Consolidated,Both,4/20/18,4/19/23,"874-1, 874-1RC","RCF Economic & Financial Consulting, Inc.",Economist II,Bachelors,5,75.14,77.39,79.71
47QRAA18D006L,small business,Consolidated,Contractor,3/23/18,3/22/23,871-6,"Avian, LLC",Acquisition Specialist,Bachelors,6,75.19,76.7,78.23
GS-10F-0019U,small business,PES,Customer,10/29/07,10/28/22,"871-1, 2, 3, 4, 6","The Aegis Technologies Group, Inc.",Software Engineer I,Bachelors,6,75.19,76.47,77.77
GS-21F-046GA,small business,03FAC,,6/26/17,6/25/22,811-002,ALUTIIQ COMMERCIAL ENTERPRISES LLC,System Admin III,Bachelors,5,75.21,,
GS-23F-037AA,small business,FABS,Both,6/6/13,6/5/23,874-1/RC,"Calloway & Associates, Inc.",Business Functions Consultant II,Bachelors,7,75.22,76.73,78.26
GS-23F-037AA,small business,FABS,Both,6/6/13,6/5/23,874-1/RC,"Calloway & Associates, Inc.",Quality Assurance Analyst II,Bachelors,7,75.22,76.73,78.26
GS-23F-037AA,small business,FABS,Both,6/6/13,6/5/23,874-7/RC,"Calloway & Associates, Inc.",Senior Specialist I,Bachelors,7,75.22,76.73,78.26
47QRAA18D009P,other than small business,Consolidated,Both,5/18/18,5/17/23,"871.1 , 871.2, 871.3, 871.4, 871.5, 871.6","SGT, LLC.","Safety Engineer, Senior",Bachelors,7,75.23,76.73,78.27
47QRAA19D00B8,small business,Consolidated,Both,8/9/19,8/8/24,"874-1; 874-7
874-1RC;  874-7RC","COPIAL BUSINESS STRATEGISTS, LLC",Biomedical Equipment Services Advisor,Bachelors,5,75.23,76.74,78.27
GS-10F-0463X,small business,Environmental,Both,9/13/11,9/12/21,"899-1, 899-7",Cogstone Resource Management Inc. (D.B.A. Cogstone),Field & Laboratory Supervisor II,Masters,5,75.26,76.62,
GS-10F-0463X,small business,Environmental,Both,9/13/11,9/12/21,"899-1, 899-7",Cogstone Resource Management Inc. (D.B.A. Cogstone),Project Manager II,Masters,5,75.26,76.62,
47QRAA19D004C,other than small business,Consolidated,Both,2/12/19,2/11/24,"899-1
899-7","Swca, Incorporated (d.b.a.) Swca Environmental Consultants",Paleontologist Specialist IV,Bachelors,5,75.26,75.26,75.26
47QSMA18D08PP,small business,36_Office_Imaging_Document,Both,4/13/18,4/12/23,51 400,Addaero Manufacturing LLC,Materials Manager,Bachelors,5,75.29,,
GS-10F-0331S,small business,Environmental,Both,7/10/06,7/9/21,899-1/899-1RC,"Bio-west, Inc.",Project Manager I,Bachelors,5,75.29,75.29,
GS-10F-0331S,small business,Environmental,Both,7/10/06,7/9/21,899-1/899-1RC,"Bio-west, Inc.",Hydrologist III,Bachelors,5,75.29,75.29,
47QRAA18D00F2,small business,Consolidated,Customer,9/5/18,9/4/23,C132-51; 871-1; 871-2; 871-3; 871-4,"HEBCO, INC.",Senior Systems Engineer / Assistant Project Technical Manager,Bachelors,7,75.33,76.83,78.37
GS-10F-0125T,other than small business,MOBIS,Both,2/5/07,2/4/22,"874-1, 6,7","XL Associates, Inc.",Analyst,Bachelors,6,75.34,,
47QRAA19D000Y,small business,Consolidated,Both,11/9/18,11/8/23,"871-1, 874-1, 874-6","SYNERGISTICS, INC",Technical Specialist I,Bachelors,5,75.37,75.37,75.37
47QSEA18D0009,small business,736TAPS,,1/22/18,1/21/23,736-5,"Alutiiq Logistics & Maintenance Services, LLC",Financial Manager I,Bachelors,5,75.38,,
47QRAA18D0082,other than small business,Consolidated,Contractor,4/17/18,4/16/23,All,ASU RESEARCH ENTERPRISE,Program Financial Analyst,Bachelors,5,75.41,76.92,78.46
47QRAA18D0025,small business,Consolidated,Both,12/10/17,12/9/22,"871 2, 874 1, 874 4, 874 7",B3H Corporation,Program Manager I,Bachelors,5,75.41,76.84,78.3
GS-00F-0059M,other than small business,Consolidated,Customer,4/23/02,4/22/22,"899-1
899-3
899-7
899-8",Jardon & Howard Technologies I,Analyst IV/GIS Specialist IV,Bachelors,7,75.43,76.94,
GS-10F-0469N,small business,Logistics,Customer,6/25/03,6/24/23,"874-501, 874-503, 874-504, 874-505, 874-507","Xotech, LLC",Technical Writer / Editor,Bachelors,5,75.45,76.88,78.34
GS-10F-0008V,other than small business,Logistics,Customer,10/10/08,10/9/23,"874-1, 874-4, 874-6, 874-7, 871-1, 871-2, 871-3, 871-4, 871-5, 871-6,  874-501, 874-504, 874-505, 874-507","Engineering Solutions & Products, Inc.","Management Specialist, Journeyman",Bachelors,5,75.45,76.95,78.49
47QRAA18D006L,small business,Consolidated,Contractor,3/23/18,3/22/23,871-3 & 6,"Avian, LLC",Program Analyst,Bachelors,6,75.46,76.97,78.51
GS-10F-0502X,other than small business,PES,Both,9/29/11,9/28/21,"871-1, 2, 3, 4, 5, 6, 7","Grove Resource Solutions, Inc. (d.b.a.) Grsi",Technical Writer,Bachelors,5,75.48,76.92,
GS-03F-027BA,other than small business,36_Office_Imaging_Document,Both,2/17/19,2/16/24,59 504; 51 600,"Gap Solutions, Inc",Analyst III,Bachelors,5,75.49,,
GS-10F-106BA,small business,PES,Both,3/8/14,3/7/24,871-7,"Construction Support Solutions, LLC",PROJECT ENGINEER,Bachelors,5,75.5,,
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541611; 611430; and 611512,"TOLLIVER GROUP, INC., THE","ANALYST, OPERATIONS RESEARCH, LEVEL 1",Bachelors,6,75.5,77.12,78.78
GS00F0013W,small business,MAS Consolidated,Both,8/19/20,8/18/25,541330ENG; 541380; 541420; and 541715,"TOLLIVER GROUP, INC., THE","SPECIALIST, WEAPONS SYSTEMS",Bachelors,5,75.5,77.12,78.78
47QSWA18D008V,other than small business,Consolidated,Customer,8/27/18,8/26/23,541 1; 541 2; 541 3; 541-4B; 541 4D; 382 5,"NATIONAL CAPITOL CONTRACTING, LLC",3D/2D Animator/ Video Editor 2,Bachelors,5,75.53,77.42,79.36
47QRAA19D006U,other than small business,Consolidated,Customer,4/10/19,4/9/24,874-1,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,Policy Research Analyst (Off-Campus),Bachelors,5,75.55,77.44,79.37
47QSHA18D001B,small business,03FAC,Both,4/20/18,4/19/23,811-002,"South Dade Air Conditioning and Refrigeration, Inc.","Management Analysts, Level II",Bachelors,5,75.56,,
GS-29F-0030R,small business,71_IIK,Customer,6/1/20,5/31/25,541614CF and 541614OR,"MOI, INC.",Principal Designer (MD),Bachelors,7,75.56,75.56,75.56
47QRAA20D000B,other than small business,Consolidated,Contractor,10/11/19,10/10/24,899.1     899.1RC,NEVADA SYSTEM OF HIGHER EDUCATION,Field or Laboratory Director (Rank II),Bachelors,5,75.56,79.34,83.31
GS-10F-0471X,small business,Environmental,Both,9/14/11,9/13/21,"899-1, 899-1RC, 899-7, 899-7RC, 899-8, 899-8RC",BBJ Group LLC,Senior Registered Professional I,Bachelors,7,75.57,75.57,
47QRAA19D00C6,small business,Consolidated,Both,9/6/19,9/5/24,899-1/899-8,"HZW ENVIRONMENTAL CONSULTANTS, LLC",Environmental Scientist I /Geologist I,Bachelors,5,75.57,77.46,79.39
GS-10F-0051T,small business,MOBIS,Customer,11/13/06,11/12/21,871-1,"Client Solution Architects, LLC",Communication Subject Matter Expert I,Bachelors,5,75.62,77.51,79.45
GS-35F-506BA,small business,IT Schedule 70,Customer,9/19/19,9/8/24,132-51,Scientific Systems and Software International Corp,Network/Hardware Support Technician,Bachelors,5,75.64,75.64,75.64
GS-00F-001HA,small business,Consolidated,Both,10/1/17,9/30/22,899-8,"Alamo Environmental, Inc. dba Alamo 1",Logistics Manager,Bachelors,7,75.65,76.79,77.94
47QRAA18D000K,other than small business,Consolidated,Contractor,10/18/17,10/17/22,874-1 & 874-7,"Information International Associates, Inc.",Scientific and Technical Manager,Bachelors,5,75.68,77.49,79.35
GS-00F-0017Y,small business,Consolidated,Contractor,3/5/12,3/4/22,"132-51, 520-12, 541-4B, 541-4C, 541-4D, 874‐1, 874-4, 874-7, 874-501, 899‐1, 899-3","Endyna, Inc.",Management Consultant II,Bachelors,5,75.7,77.9,80.16
GS-02F-167AA,small business,736TAPS,,7/27/13,7/28/23,736-5,"Calloway & Associates, INC.",Contract Administrator II,Bachelors,5,75.71,,
GS-35F-186GA,small business,IT Schedule 70,Both,1/20/17,1/19/22,132-51,I-Connect LC,Sys Arch,Bachelors,6,75.73,75.73,75.73
GS-10F-0288M,small business,MOBIS,Both,5/15/02,5/14/22,874-1/RC; 874-4/RC; 874-6/RC; 874-7/RC,"ASHLIN Management Group, Inc.",Project Specialist,Bachelors,5,75.74,77.11,78.5
GS-00F-256DA,small business,Consolidated,Both,8/12/16,8/11/21,"541-1, 541-2, 541-3, 541-4A, 541-5",PENNGOOD LLC,Graphic Designer,Bachelors,7,75.74,75.74,
GS-00F-349GA,small business,Consolidated,Both,8/31/17,8/30/22,"871-1 , 871-2, 871-3, 871-4, 871-5, 871-6, 874-501, 874-503, 874-504, 874-505, 874-507","LOCKWOOD GROUP LLC, THE ",General Engineer II,Bachelors,5,75.77,77.28,78.83
47QRAA19D0092,small business,Consolidated,Both,6/7/19,6/6/24,899-1; 899-7,"ASM Affiliates, Inc.",Associate Archaeologist II,Bachelors,5,75.77,77.28,78.83
47QRAA18D000B,small business,Consolidated,Contractor,10/20/17,10/19/22,"874 1, 874 7","OPERATIONAL INTELLIGENCE, LLC",Modeling and Simulation Specialist - Level II,Bachelors,5,75.78,77.67,79.61
GS-10F-233AA,small business,Consolidated,Both,8/23/13,8/22/23,"874-1, 874-4, 874-7, 874-501","Miracorp, Inc.",ANALYST II,Bachelors,6,75.79,77.53,79.31
GS-10F-0343S,other than small business,Environmental,Both,7/25/06,7/24/21,"899-1,-3,-7,-8","TLI Solutions, Inc.",Industrial Hygienist 3,Bachelors,5,75.8,77.24,
47QRAA18D00BU,small business,Consolidated,Both,7/6/18,7/5/23,74.31,"TOTALLY JOINED FOR ACHIEVING COLLABORATIVE TECHNIQUES (TJFACT), LLC",Quality Professional Staff Sr.,Bachelors,5,75.8,77.31,78.86
47QRAA18D00FY,small business,Consolidated,Both,9/19/18,9/18/23,"871-1, 871-2, 871-4, 871-5, 871-6",DefTec Corporation,Engineer/Analyst II,Bachelors,5,75.8,77.39,79.01
47QRAA18D009U,small business,Consolidated,Both,5/24/18,5/23/23,899-1 & 899-1RC,ALTA ARCHAEOLOGICAL CONSULTING LLC ,Project Manager D,Bachelors,5,75.81,77.33,78.88
